supplier_id,contact_name,email,company,business_partner,supplier,business_partner_category,business_partner_grouping,correspondence_language,organization_bp_name1,search_term1,street_name,house_number,postal_code,city_name,country,region,address_id,address_person,address_email_ordinal,business_partner_role_1,business_partner_role_2,company_code,payment_terms,currency,reconciliation_account,purchasing_organization,purchasing_group,purchase_order_currency,supplier_account_number,supplier_resp_sales_person_name,supplier_phone_number,incoterms_classification,incoterms_location1,supplier_account_group
SUP001,Lucas Dupont,dupont.lucas@tech-solutions.fr,Tech Solutions,9100000001,9100000001,2,BP01,EN,Tech Solutions,TECH SOLUTIONS,Demo Street,11,75001,Paris,FR,,8100000001,0000000001,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP001,Lucas Dupont,+33 1 55001,EXW,Paris,0001
SUP002,Hannah Schmidt,schmidt.hannah@green-energy.de,Green Energy,9100000002,9100000002,2,BP01,EN,Green Energy,GREEN ENERGY,Demo Street,12,10115,Berlin,DE,,8100000002,0000000002,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP002,Hannah Schmidt,+49 30 55002,EXW,Berlin,0001
SUP003,Matteo Rossi,rossi.matteo@viva-logistics.it,Viva Logistics,9100000003,9100000003,2,BP01,EN,Viva Logistics,VIVA LOGISTICS,Demo Street,13,20121,Milan,IT,,8100000003,0000000003,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP003,Matteo Rossi,+39 02 55003,EXW,Milan,0001
SUP004,Elena Garcia,garcia.elena@sol-marketing.es,Sol Marketing,9100000004,9100000004,2,BP01,EN,Sol Marketing,SOL MARKETING,Demo Street,14,28001,Madrid,ES,,8100000004,0000000004,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP004,Elena Garcia,+34 91 55004,EXW,Madrid,0001
SUP005,Klaus Muller,muller.klaus@alpen-build.at,Alpen Build,9100000005,9100000005,2,BP01,EN,Alpen Build,ALPEN BUILD,Demo Street,15,1010,Vienna,AT,,8100000005,0000000005,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP005,Klaus Muller,+43 1 55005,EXW,Vienna,0001
SUP006,Emma Janssens,janssens.emma@nord-finance.be,Nord Finance,9100000006,9100000006,2,BP01,EN,Nord Finance,NORD FINANCE,Demo Street,16,1000,Brussels,BE,,8100000006,0000000006,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP006,Emma Janssens,+32 2 55006,EXW,Brussels,0001
SUP007,Chloe Dubois,dubois.chloe@lumiere-media.fr,Lumiere Media,9100000007,9100000007,2,BP01,EN,Lumiere Media,LUMIERE MEDIA,Demo Street,17,75001,Paris,FR,,8100000007,0000000007,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP007,Chloe Dubois,+33 1 55007,EXW,Paris,0001
SUP008,Jakub Novak,novak.jakub@praha-consult.cz,Praha Consult,9100000008,9100000008,2,BP01,EN,Praha Consult,PRAHA CONSULT,Demo Street,18,11000,Prague,CZ,,8100000008,0000000008,001,FLVN00,FLVN01,1000,0001,CZK,300000,1000,001,CZK,SUP008,Jakub Novak,+420 2 55008,EXW,Prague,0001
SUP009,Lars Bakker,bakker.lars@delta-shipping.nl,Delta Shipping,9100000009,9100000009,2,BP01,EN,Delta Shipping,DELTA SHIPPING,Demo Street,19,1012,Amsterdam,NL,,8100000009,0000000009,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP009,Lars Bakker,+31 20 55009,EXW,Amsterdam,0001
SUP010,Thomas Lefevre,lefevre.thomas@artisan-group.be,Artisan Group,9100000010,9100000010,2,BP01,EN,Artisan Group,ARTISAN GROUP,Demo Street,20,1000,Brussels,BE,,8100000010,0000000010,001,FLVN00,FLVN01,1000,0001,EUR,300000,1000,001,EUR,SUP010,Thomas Lefevre,+32 2 55010,EXW,Brussels,0001
